fecha,vegetation_percentage
20190211T070019_20190211T070941_T38NQJ,0
20201202T070249_20201202T071057_T38NQJ,0
20210131T070119_20210131T071532_T38NQJ,0.006882651900202717
20210516T065621_20210516T071309_T38NQJ,0
20220101T070311_20220101T070307_T38NQJ,0.44675021788943436
20220531T065631_20220531T071432_T38NQJ,0.001579726583754899
